state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,storage,interruptible_load
Washington,25,2010,20797.20,623.79,1946.93,1405.00,1131.00,0.00,175.35,9.51,0.00,0.00,1840.10,0.00,314.00,297.80
West Virginia,25,2010,324.60,1288.50,0.00,14566.00,0.00,0.00,0.00,0.00,0.00,0.00,330.00,0.00,0.00,45.62
Wisconsin,25,2010,505.00,3963.60,1918.25,6904.83,1582.00,0.00,120.52,0.19,0.00,0.00,364.50,0.00,0.00,230.97
Wyoming,25,2010,298.80,117.45,0.00,5816.90,0.00,0.00,0.00,0.06,0.00,0.00,1103.40,0.00,0.00,35.86
Alabama,25,2012,3279.90,1821.48,7649.63,11573.08,5008.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,110.00,346.81
Arizona,25,2012,4012.20,2681.99,9305.54,5362.00,3875.00,0.00,6.50,100.86,469.34,0.00,907.15,0.00,194.10,286.89
Arkansas,25,2012,1308.80,1749.60,4020.00,3793.00,1834.00,0.00,4.00,0.11,0.00,0.00,0.00,0.00,28.00,159.74
California,25,2012,10032.30,19728.03,11837.92,316.90,4324.00,2378.35,723.61,813.75,691.86,350.00,7453.74,0.00,3352.60,1049.07
Colorado,25,2012,643.20,2126.40,2084.50,4927.90,0.00,0.00,9.80,47.17,0.00,0.00,2229.60,0.00,508.50,119.78
Connecticut,25,2012,118.50,3085.86,1747.50,528.15,2037.10,0.00,242.77,14.53,0.00,0.00,0.00,0.00,31.00,199.18
Delaware,25,2012,0.00,859.33,906.67,1056.00,0.00,0.00,0.00,10.07,0.00,0.00,174.70,0.00,0.00,55.04
Florida,25,2012,55.70,19079.81,13525.54,10097.25,3902.00,0.00,839.92,35.91,34.44,0.00,0.00,0.00,22.15,1942.76
Georgia,25,2012,1932.20,8412.08,5222.75,13192.20,4060.00,0.00,2.40,8.00,0.00,0.00,0.00,0.00,1634.60,515.10
Idaho,25,2012,2515.60,335.25,261.87,0.00,0.00,19.60,11.57,0.97,0.00,0.00,538.90,0.00,0.00,93.33
Illinois,25,2012,38.30,11310.34,2897.33,15263.86,11388.00,0.00,133.00,6.28,0.00,0.00,2342.10,0.00,0.00,669.28
Indiana,25,2012,92.10,3605.12,2434.93,19676.20,0.00,0.00,9.60,1.04,0.00,0.00,1323.95,0.00,0.00,525.87
Iowa,25,2012,314.88,1694.84,1101.43,5705.00,580.60,0.00,6.40,3.73,0.00,0.00,4422.38,0.00,0.00,223.06
Kansas,25,2012,2.60,3621.09,0.00,5249.80,1166.00,0.00,0.00,4.41,0.00,0.00,3677.36,0.00,0.00,173.47
Kentucky,25,2012,777.40,4568.61,0.00,14337.10,0.00,0.00,9.60,0.10,0.00,0.00,0.20,0.00,0.00,318.02
Louisiana,25,2012,192.00,10750.13,5023.77,3453.00,2124.00,0.00,12.20,23.86,0.00,0.00,0.00,0.00,0.00,263.52
Maine,25,2012,722.00,1032.50,1250.01,85.00,0.00,0.00,280.90,3.99,0.00,0.00,314.40,0.00,0.00,60.66
Maryland,25,2012,526.80,5124.46,153.33,4898.00,1735.00,0.00,117.90,8.50,0.00,0.00,1933.37,0.00,0.00,296.16
Massachusetts,25,2012,269.50,3538.67,4554.98,1733.97,684.70,0.00,286.55,9.21,0.00,0.00,196.60,0.00,1540.00,343.28
Michigan,25,2012,374.10,7873.91,4452.98,11747.07,3982.00,0.00,248.12,0.20,0.00,0.00,645.60,0.00,1978.80,645.26
Minnesota,25,2012,185.60,2638.54,627.20,5287.17,1617.00,0.00,209.09,5.43,0.00,0.00,2867.30,0.00,0.00,390.33
Mississippi,25,2012,0.00,6424.97,5872.10,2562.90,1266.00,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,180.32
Missouri,25,2012,499.20,4188.12,1768.67,11172.30,1190.00,0.00,0.00,2.86,0.00,0.00,308.50,0.00,600.40,524.24
Montana,25,2012,2512.30,129.15,0.00,2339.30,0.00,0.00,0.00,1.42,0.00,0.00,1977.85,0.00,0.00,51.87
Nebraska,25,2012,194.30,1484.79,406.90,3195.80,1238.34,0.00,4.64,0.64,0.00,0.00,912.70,0.00,0.00,120.25
Nevada,25,2012,1047.00,1433.75,2890.40,2657.00,0.00,246.70,0.00,21.60,0.00,23.52,1222.20,0.00,0.00,126.67
New Hampshire,25,2012,445.40,464.66,1322.00,575.10,1220.10,0.00,122.03,0.57,0.00,0.00,37.80,0.00,0.00,28.55
New Jersey,25,2012,13.20,4551.43,3594.92,2076.60,3984.00,0.00,199.30,113.33,0.00,0.00,495.90,0.00,453.00,592.46
New Mexico,25,2012,78.70,1399.12,222.67,3956.90,0.00,110.00,6.40,13.25,864.00,72.67,2288.30,0.00,0.00,99.01
New York,25,2012,4652.70,13924.77,5294.06,4029.57,5150.20,0.00,306.63,77.46,0.00,0.00,4059.20,0.00,1240.00,561.59
North Carolina,25,2012,1827.50,5015.06,745.33,13038.50,4938.00,0.00,93.50,21.05,0.00,0.00,214.20,0.00,95.00,466.13
North Dakota,25,2012,614.00,67.37,0.00,4105.87,0.00,0.00,0.00,0.39,0.00,0.00,3050.68,0.00,0.00,70.31
Ohio,25,2012,128.40,6026.95,2717.38,22163.50,2108.00,0.00,10.80,0.63,0.00,0.00,681.10,0.00,0.00,651.83
Oklahoma,25,2012,789.50,5524.70,5797.23,5284.10,0.00,0.00,0.00,3.99,0.00,0.00,2274.43,0.00,288.00,248.37
Oregon,25,2012,8240.00,133.80,2097.93,585.00,0.00,100.00,53.41,74.15,0.00,0.00,2506.35,0.00,0.00,209.52
Pennsylvania,25,2012,774.90,5750.02,7541.07,18435.50,9195.00,0.00,338.24,74.45,0.00,0.00,1813.10,0.00,1269.00,900.22
Rhode Island,25,2012,4.30,4.96,1382.42,0.00,0.00,0.00,29.27,3.70,0.00,0.00,15.30,0.00,0.00,75.34
South Carolina,25,2012,1363.00,3300.49,2014.67,5968.20,6472.00,0.00,9.00,0.52,0.00,0.00,26.40,0.00,2188.40,335.31
South Dakota,25,2012,1730.40,613.26,0.00,482.10,0.00,0.00,0.00,0.34,0.00,0.00,2628.33,0.00,16.55,54.14
Tennessee,25,2012,2418.00,3581.99,0.00,8618.00,3398.00,0.00,18.90,0.94,0.00,0.00,31.30,0.00,1530.00,530.86
Texas,25,2012,672.20,36218.94,28008.84,19823.00,4860.00,0.00,40.80,116.57,0.00,0.00,10179.80,0.00,0.00,1716.87
Utah,25,2012,262.40,849.77,402.40,4735.99,0.00,170.00,1.40,0.21,0.00,0.00,682.40,0.00,0.00,127.07
Vermont,25,2012,305.60,90.91,0.00,0.00,506.00,0.00,72.00,1.98,0.00,0.00,6.00,0.00,2.12,36.79
Virginia,25,2012,740.60,5486.75,2697.63,5704.40,3432.00,0.00,175.72,3.50,0.00,0.00,734.20,0.00,3109.30,510.88
Washington,25,2012,20797.20,576.93,1869.20,1405.00,1131.00,0.00,175.35,48.01,0.00,0.00,2253.30,0.00,314.00,360.09
West Virginia,25,2012,324.60,1288.50,0.00,14566.00,0.00,0.00,0.00,0.19,0.00,0.00,1262.30,0.00,0.00,143.09
Wisconsin,25,2012,505.00,3753.83,1897.17,6904.83,1582.00,0.00,120.52,3.45,0.00,0.00,365.40,0.00,0.00,264.44
Wyoming,25,2012,298.80,117.37,0.00,5816.90,0.00,0.00,0.00,0.73,0.00,0.00,3694.20,0.00,0.00,38.07
Alabama,25,2014,3279.90,1728.41,7637.22,11573.08,5008.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,110.00,458.84
Arizona,25,2014,4012.20,2585.76,9243.69,5362.00,3875.00,0.00,6.50,342.87,753.42,0.00,2337.37,0.00,199.19,368.83
Arkansas,25,2014,1308.80,1669.93,4014.50,3793.00,1834.00,0.00,4.00,0.37,0.00,0.00,0.00,0.00,47.48,216.76
California,25,2014,10032.30,19481.90,11620.47,316.90,4324.00,3674.35,723.61,2135.75,1688.15,350.00,7453.74,0.00,4740.58,1331.61
Colorado,25,2014,643.20,2043.91,2027.88,4927.90,0.00,0.00,9.80,174.62,0.00,0.00,2376.24,0.00,508.50,153.92
Connecticut,25,2014,118.50,3062.80,1738.50,528.15,2037.10,0.00,301.36,33.34,0.00,0.00,0.00,0.00,31.00,215.84
Delaware,25,2014,0.00,852.77,861.46,1054.53,0.00,0.00,1.47,26.56,0.00,0.00,174.70,0.00,0.00,61.84
Florida,25,2014,55.70,21982.23,18059.89,10089.55,3902.00,0.00,914.85,46.79,135.10,0.00,0.00,0.00,85.54,2019.45
Georgia,25,2014,1932.20,8250.99,5205.29,13192.20,4060.00,0.00,2.40,34.69,0.00,0.00,7.00,0.00,1634.60,681.56
Idaho,25,2014,2515.60,323.74,260.13,0.00,0.00,19.60,11.57,1.76,0.00,0.00,538.91,0.00,0.01,108.44
Illinois,25,2014,38.30,11080.49,2881.42,15263.86,11388.00,0.00,133.00,23.98,0.00,0.00,4800.31,0.00,0.00,750.55
Indiana,25,2014,234.33,3520.83,2423.77,19676.20,0.00,0.00,9.60,3.81,0.00,0.00,1325.55,0.00,0.00,620.20
Iowa,25,2014,314.88,1582.21,1094.56,5705.00,580.60,0.00,6.40,14.41,0.00,0.00,6685.76,0.00,0.00,209.96
Kansas,25,2014,2.60,3526.63,0.00,5249.80,1166.00,0.00,0.00,16.71,0.00,0.00,9519.46,0.00,0.00,220.48
Kentucky,25,2014,777.40,4518.54,0.00,14337.10,0.00,0.00,9.60,0.38,0.00,0.00,0.40,0.00,0.00,313.76
Louisiana,25,2014,192.00,10745.09,4966.68,3453.00,2124.00,0.00,12.20,67.95,0.00,0.00,0.00,0.00,0.00,348.66
Maine,25,2014,722.00,1031.50,1250.01,85.00,0.00,0.00,280.90,8.71,0.00,0.00,314.40,0.00,0.00,65.74
Maryland,25,2014,526.80,4999.31,134.17,4863.76,1735.00,0.00,152.14,9.33,0.00,0.00,1933.37,0.00,0.00,334.10
Massachusetts,25,2014,269.50,3845.54,4461.47,1733.97,684.70,0.00,432.17,18.90,0.00,0.00,196.60,0.00,1540.00,396.99
Michigan,25,2014,374.10,7950.30,4283.83,11747.07,3982.00,0.00,248.12,1.30,0.00,0.00,2863.38,0.00,1978.80,751.90
Minnesota,25,2014,185.60,2560.54,592.55,5287.17,1617.00,0.00,209.09,6.28,0.00,0.00,4732.15,0.00,0.00,417.49
Mississippi,25,2014,0.00,6291.46,5868.60,2523.86,1266.00,0.00,39.04,1.97,0.00,0.00,0.00,0.00,0.00,223.67
Missouri,25,2014,499.20,4059.49,1744.08,11172.30,1190.00,0.00,0.00,10.79,0.00,0.00,309.30,0.00,600.40,629.34
Montana,25,2014,2512.30,122.34,0.00,2339.30,0.00,0.00,0.00,8.88,0.00,0.00,2877.32,0.00,0.00,57.65
Nebraska,25,2014,194.30,1437.95,406.90,3195.80,1238.34,0.00,4.64,2.75,0.00,0.00,2839.20,0.00,0.00,169.34
Nevada,25,2014,1047.00,1383.66,2815.90,2657.00,0.00,246.70,0.00,79.63,581.65,23.52,1895.69,0.00,0.00,144.27
New Hampshire,25,2014,445.40,462.80,1322.00,575.10,1220.10,0.00,122.03,2.01,1.80,0.00,37.80,0.00,0.00,60.24
New Jersey,25,2014,13.20,4003.06,3335.28,2015.67,3984.00,0.00,260.23,118.81,0.00,0.00,495.90,0.00,453.00,665.61
New Mexico,25,2014,78.70,1379.63,220.58,3956.90,0.00,110.00,6.40,39.13,928.25,72.67,4680.56,0.00,0.00,132.18
New York,25,2014,4652.70,14464.07,5548.73,3838.73,5150.20,0.00,543.15,128.71,0.00,0.00,4059.20,0.00,1483.52,749.21
North Carolina,25,2014,1827.50,4862.90,716.17,12994.18,4938.00,0.00,137.82,28.61,0.00,0.00,883.40,0.00,204.60,616.78
North Dakota,25,2014,614.00,64.14,0.00,4105.87,0.00,0.00,0.00,0.44,0.00,0.00,4563.46,0.00,0.00,66.17
Ohio,25,2014,128.40,5831.37,2717.38,22163.50,2108.00,0.00,10.80,2.39,0.00,0.00,681.10,0.00,0.00,780.23
Oklahoma,25,2014,789.50,5488.14,5716.97,5284.10,0.00,0.00,0.00,8.74,0.00,0.00,3851.16,0.00,535.42,353.76
Oregon,25,2014,8240.00,133.80,2001.82,585.00,0.00,100.00,53.41,90.44,0.00,0.00,2883.85,0.00,0.00,203.71
Pennsylvania,25,2014,774.90,5674.28,7495.38,18371.29,9195.00,0.00,402.45,183.86,0.00,0.00,1813.10,0.00,1269.00,1022.03
Rhode Island,25,2014,4.30,4.96,1305.24,0.00,0.00,0.00,38.77,11.03,298.84,0.00,15.30,0.00,0.00,81.63
South Carolina,25,2014,1363.00,3192.18,2003.33,5893.20,6472.00,0.00,84.00,1.55,0.00,0.00,388.80,0.00,2201.19,443.62
South Dakota,25,2014,1730.40,576.68,0.00,482.10,0.00,0.00,0.00,0.90,0.00,0.00,3942.13,0.00,33.35,54.04
Tennessee,25,2014,2418.00,3457.80,0.00,8618.00,3398.00,0.00,18.90,2.52,0.00,0.00,37.70,0.00,1530.00,693.20
Texas,25,2014,672.20,35895.21,27853.46,19823.00,4860.00,0.00,40.80,155.24,221.42,0.00,13754.98,0.00,0.00,3175.03
Utah,25,2014,262.40,840.13,402.40,4735.99,0.00,170.00,1.40,0.90,0.00,0.00,705.20,0.00,0.00,151.64
Vermont,25,2014,305.60,87.27,0.00,0.00,506.00,0.00,72.00,7.09,0.00,0.00,6.00,0.00,4.50,39.87
Virginia,25,2014,740.60,5393.15,2542.29,5704.40,3432.00,0.00,175.72,6.06,0.00,0.00,1361.10,0.00,3109.30,665.36
Washington,25,2014,20797.20,530.13,1791.47,1405.00,1131.00,0.00,175.35,159.48,0.00,0.00,2732.00,0.00,314.00,406.75
West Virginia,25,2014,324.60,1288.50,0.00,14566.00,0.00,0.00,0.00,0.42,0.00,0.00,1328.20,0.00,0.00,171.26
Wisconsin,25,2014,505.00,3545.16,1876.08,6904.83,1582.00,0.00,120.52,12.36,0.00,0.00,376.30,0.00,0.00,283.10
Wyoming,25,2014,298.80,115.21,0.00,5816.90,0.00,0.00,0.00,2.80,0.00,0.00,6522.54,0.00,3.07,39.65
Alabama,25,2016,3279.90,1635.38,7624.80,11573.08,5008.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,110.00,466.44
Arizona,25,2016,4012.20,2497.49,9181.83,5362.00,3875.00,0.00,6.50,865.79,753.42,0.00,3258.00,0.00,199.19,573.85
Arkansas,25,2016,1308.80,1435.41,4009.00,3793.00,1834.00,0.00,4.00,1.16,0.00,0.00,0.00,0.00,66.54,225.24
California,25,2016,10032.30,19236.55,11403.02,316.90,4324.00,6590.35,723.61,4360.79,3115.88,532.00,7453.74,0.00,4740.58,1597.28
Colorado,25,2016,643.20,2019.21,1971.25,4927.90,0.00,0.00,9.80,480.94,0.00,0.00,2484.90,0.00,508.50,253.81
Connecticut,25,2016,118.50,3045.65,1729.50,528.15,2037.10,0.00,301.36,71.28,160.10,0.00,0.00,0.00,31.00,126.89
Delaware,25,2016,0.00,846.34,816.25,1054.53,0.00,0.00,1.47,54.47,0.00,0.00,174.70,0.00,0.00,53.00
Florida,25,2016,55.70,23254.80,18213.38,10089.55,3902.00,0.00,915.93,142.15,190.14,0.00,0.00,0.00,190.66,2082.76
Georgia,25,2016,1932.20,8092.19,5187.83,13179.44,4060.00,0.00,15.16,37.02,0.00,0.00,36.30,0.00,1634.60,692.98
Idaho,25,2016,2515.60,312.23,258.40,0.00,0.00,19.60,11.57,3.94,0.00,0.00,538.95,0.00,0.05,115.34
Illinois,25,2016,38.30,10864.08,2865.50,15263.86,11388.00,0.00,133.00,34.16,0.00,0.00,6236.90,0.00,0.00,730.93
Indiana,25,2016,234.33,3291.53,2412.60,19676.20,0.00,0.00,9.60,8.81,0.00,0.00,2167.99,0.00,0.00,594.33
Iowa,25,2016,314.88,1470.97,1087.70,5705.00,580.60,0.00,6.40,37.53,0.00,0.00,8319.39,0.00,0.00,247.91
Kansas,25,2016,2.60,3361.29,0.00,5249.80,1166.00,0.00,0.00,44.34,0.00,0.00,11323.59,0.00,0.00,280.22
Kentucky,25,2016,777.40,4468.66,0.00,14281.33,0.00,0.00,65.37,1.06,0.00,0.00,4.40,0.00,0.00,378.13
Louisiana,25,2016,192.00,10742.51,4909.60,3377.74,2124.00,0.00,87.46,153.37,0.00,0.00,0.00,0.00,0.00,354.48
Maine,25,2016,722.00,1022.75,1250.01,85.00,0.00,0.00,280.90,21.58,0.00,0.00,314.40,0.00,0.00,38.65
Maryland,25,2016,526.80,4802.26,115.00,4846.51,1735.00,0.00,169.39,19.49,0.00,0.00,2210.66,0.00,0.00,287.79
Massachusetts,25,2016,269.50,3828.27,4367.97,1733.97,684.70,0.00,432.17,46.52,0.00,0.00,196.60,413.78,1540.00,233.39
Michigan,25,2016,374.10,11101.41,4114.68,11747.07,3982.00,0.00,248.12,5.28,0.00,0.00,7005.70,0.00,1978.80,692.74
Minnesota,25,2016,185.60,2459.64,557.90,5287.17,1617.00,0.00,209.09,14.10,0.00,0.00,6550.97,0.00,0.00,418.24
Mississippi,25,2016,0.00,6076.38,5865.10,2469.03,1266.00,0.00,93.87,4.44,0.00,0.00,0.00,0.00,0.00,237.73
Missouri,25,2016,499.20,3893.78,1719.50,11172.30,1190.00,0.00,0.00,23.08,0.00,0.00,309.90,0.00,600.40,660.49
Montana,25,2016,2512.30,115.62,0.00,2339.30,0.00,0.00,0.00,27.74,0.00,0.00,3039.57,0.00,0.00,61.79
Nebraska,25,2016,194.30,1396.11,406.90,3195.80,1238.34,0.00,4.64,7.92,0.00,0.00,3992.80,0.00,146.42,164.52
Nevada,25,2016,1047.00,1333.70,2741.40,2657.00,0.00,246.70,0.00,229.85,581.65,24.84,1929.20,0.00,0.00,191.98
New Hampshire,25,2016,445.40,461.00,1322.00,575.10,1220.10,0.00,122.03,5.88,3.61,0.00,37.80,0.00,0.00,48.73
New Jersey,25,2016,13.20,3661.40,3075.64,2015.67,3984.00,0.00,260.23,152.94,0.00,0.00,495.90,0.00,453.00,570.44
New Mexico,25,2016,78.70,1360.22,218.50,3956.90,0.00,110.00,6.40,89.30,928.25,72.67,6665.62,0.00,0.00,203.49
New York,25,2016,4652.70,14460.04,5243.58,3838.73,5150.20,0.00,543.15,241.43,0.00,0.00,4059.20,0.00,1483.52,753.05
North Carolina,25,2016,1827.50,4711.47,687.00,12914.13,4938.00,0.00,217.87,55.26,0.00,0.00,2193.20,0.00,315.00,627.13
North Dakota,25,2016,614.00,60.99,0.00,4105.87,0.00,0.00,0.00,1.04,0.00,0.00,4802.76,0.00,0.90,59.87
Ohio,25,2016,128.40,5715.30,2717.38,22163.50,2108.00,0.00,10.80,3.27,0.00,0.00,681.10,0.00,0.00,777.78
Oklahoma,25,2016,789.50,5451.82,5636.70,5284.10,0.00,0.00,0.00,22.42,0.00,0.00,4860.19,0.00,535.42,387.59
Oregon,25,2016,8240.00,133.80,1905.70,585.00,0.00,100.00,53.41,133.74,0.00,0.00,2886.65,0.00,0.00,255.87
Pennsylvania,25,2016,774.90,5600.82,7449.68,18356.80,9195.00,0.00,426.44,235.17,0.00,0.00,1813.10,0.00,1269.00,887.05
Rhode Island,25,2016,4.30,4.96,1228.07,0.00,0.00,0.00,38.77,30.60,598.81,0.00,15.30,0.00,0.00,47.99
South Carolina,25,2016,1363.00,3084.68,1992.00,5893.20,6472.00,0.00,84.00,5.42,0.00,0.00,1026.40,0.00,2214.68,450.98
South Dakota,25,2016,1730.40,540.41,0.00,482.10,0.00,0.00,0.00,2.55,0.00,0.00,4036.13,0.00,50.85,57.21
Tennessee,25,2016,2418.00,3333.69,0.00,8441.15,3398.00,0.00,195.75,3.48,0.00,0.00,37.70,0.00,1673.46,692.38
Texas,25,2016,672.20,35573.33,27679.00,19823.00,4860.00,0.00,40.80,295.21,1947.30,0.00,17918.60,0.00,0.00,3350.89
Utah,25,2016,262.40,766.57,402.40,4735.99,0.00,170.00,1.40,3.86,0.00,0.00,705.20,0.00,0.00,157.07
Vermont,25,2016,305.60,83.78,0.00,0.00,506.00,0.00,72.00,9.02,0.00,0.00,6.00,0.00,6.34,23.44
Virginia,25,2016,740.60,5300.33,2386.95,5704.40,3432.00,0.00,175.72,14.49,0.00,0.00,1468.60,0.00,3109.30,666.88
Washington,25,2016,20797.20,483.37,1713.75,1405.00,1131.00,0.00,175.35,414.54,0.00,0.00,3424.81,0.00,314.00,443.40
West Virginia,25,2016,324.60,1288.50,0.00,14566.00,0.00,0.00,0.00,0.62,0.00,0.00,1328.20,0.00,0.00,157.75
Wisconsin,25,2016,505.00,3363.54,1855.00,6904.83,1582.00,0.00,120.52,38.90,0.00,0.00,379.90,0.00,0.00,278.18
Wyoming,25,2016,298.80,115.15,0.00,5816.90,0.00,0.00,0.00,7.99,0.00,0.00,7967.58,0.00,9.94,40.59
Alabama,25,2018,3279.90,1542.40,7612.38,11385.02,5008.00,0.00,188.06,5.29,0.00,0.00,0.10,0.00,110.06,315.73
Arizona,25,2018,4012.20,2373.48,9119.98,5362.00,3875.00,0.00,6.50,1829.68,753.42,0.00,3258.00,0.00,199.19,614.35
Arkansas,25,2018,1308.80,1427.11,4003.50,3793.00,1834.00,0.00,4.00,3.98,0.00,0.00,1.50,0.00,76.86,154.18
California,25,2018,10032.30,18991.95,11185.56,316.90,4324.00,12856.94,723.61,5690.00,3115.88,532.00,7453.74,0.00,4740.58,1805.97
